,Cameo Trainer,Card name,Set,#,TCGPlayer Link,Notes
,,Dark Persian,Wizards Promos,17,,much easier to see on the Japanese print; I promise he's there
,,Gym Badge,XY Promos,210,,
,,Rhydon,Unbroken Bonds,94,,
,,Team Rocket's Meowth,Destined Rivals,203,,
,,Team Rocket's Mewtwo ex,Destined Rivals,213,,
,,,Destined Rivals,240,,
,,Team Rocket's Nidoking ex,Destined Rivals,216,,
,,Team Rocket's Persian ex,Destined Rivals,219,,
,,Team Rocket's Mewtwo ex,Destined Rivals,231,,
,,Team Rocket's Nidoking ex,Destined Rivals,233,,
,,Team Rocket's Dugtrio,Ascended Heroes,239,,
,,Team Rocket's Mewtwo ex,Ascended Heroes,281,,
,Lance,Lance's Charizard V,SWSH Promos,133,,
,Bill,Eevee,Brilliant Stars,TG11,,
,Jessie,Here Comes Team Rocket!,Team Rocket,15,,
,,,Team Rocket,71,,
,,,Evolutions,113,,
,,,Celebrations,15,,
,,Here Comes Team Rocket!,Team Rocket Returns,111,,
,,Meowth M,Movie Commemoration Random Pack,17,,
,,Here Comes Team Rocket!,XY-P Promos,278,,
,,Wobbuffet,Ash vs Team Rocket,8,,
,,Team Rocket's Mimikyu-GX,Ash vs Team Rocket,10,,
,,Bewear,Ash vs Team Rocket,18,,
,,Team Rocket's Harassment,Ash vs Team Rocket,16,,
,,Arbok,Hidden Fates,27,,
,James,Here Comes Team Rocket!,Team Rocket,15,,
,,,Team Rocket,71,,
,,,Evolutions,113,,
,,,Celebrations,15,,
,,Here Comes Team Rocket!,Team Rocket Returns,111,,
,,Meowth M,Movie Commemoration Random Pack,17,,
,,Here Comes Team Rocket!,XY-P Promos,278,,
,,Mareanie,Ash vs Team Rocket,2,,
,,Wobbuffet,Ash vs Team Rocket,8,,
,,Team Rocket's Mimikyu-GX,Ash vs Team Rocket,10,,
,,Bewear,Ash vs Team Rocket,18,,
,,Team Rocket's Harassment,Ash vs Team Rocket,26,,
,,Weezing,Hidden Fates,29,,
,Kouichi Ooyama,Pokémon Machine,Expansion Sheet 3,-,,
,,Exeggutor,Tropical Mega Battle Promo,-,,
,,,Evolutions,109,,
,Imakuni?,Lose?,Expansion Sheet 3,-,,
,,Imakuni?'s Doduo,Challenge from the Darkness,-,,
,,,Evolutions,112,,
,,Lucky Stadium,Neo Destiny,100,,
,,Imakuni?'s Whismur,T Promos,22,,
,,Imakuni?'s Loudred,T Promos,23,,
,,Imakuni?'s Exploud ex,T Promos,24,,
,,Suzukisan,XY-P Promos,297,,
,Ash,Ash's Treecko,ADV-P Promos,36,,
,,Pikachu M,Movie Commemoration Random Pack,12,,
,,Staraptor M,Movie Commemoration Random Pack,18,,
,,Rowlet,Ash vs Team Rocket,1,,
,,Ash's Pikachu-GX,Ash vs Team Rocket,5,,
,,Tauros,Ash vs Team Rocket,14,,
,,Litten,SM-P Promos,59,,
,,Pikachu,SM Promos,227,,
,,Ash's Pikachu,SM Promos,108,,hat
,,Ash's Pikachu,SM Promos,109,,
,,Ash's Pikachu,SM Promos,110,,
,,Ash's Pikachu,SM Promos,111,,
,,Ash's Pikachu,SM Promos,112,,
,,Ash's Pikachu,SM Promos,113,,
,,Ash's Pikachu,SM Promos,114,,
,Sird,Rocket's Admin.,Team Rocket Returns,86,,
,,,Celebrations,86,,
,,,TCG Classic: Venusaur Deck,26,,
,,,TCG Classic: Charizard Deck,25,,
,,,TCG Classic: Blastoise Deck,27,,
JOHTO,Ethan,Ethan's Typhlosion,Destined Rivals,190,,
,,Ethan's Ho-Oh ex,Destined Rivals,209,,
,,,Destined Rivals,239,,
,,Ethan's Ho-Oh ex,Destined Rivals,230,,
,,Ethan's Magcargo,Ascended Heroes,222,,
,,Copycat,Expedition,138,,costume
,,,Team Rocket Returns,83,,
,,,Dragon Frontiers,73,,
,,,Celestial Storm,127,,
,,Copycat,HeartGold & SoulSilver,90,,
,,,Call of Legends,03 17,,
,,Copycat,Celestial Storm,163,,
,,Copycat,Evolving Skies,143,,
,,Copycat,Evolving Skies,200,,
,,,Evolving Skies,222,,
,Silver,Crobat V,Lost Origin,TG20,,
,Professor Elm,Copycat,HeartGold & SoulSilver,90,,costume
,,,Call of Legends,77,,
,Bugsy,Orbeetle V,Lost Origin,TG12,,
,,Orbeetle VMAX,Lost Origin,TG13,,
,Whitney,Miltank,Lost Thunder,158,,
,Morty,Dusknoir,Brilliant Stars,TG06,,
,Jasmine,Mary's Request,Unseen Forces,86,,
,,Steelix,Cosmic Eclipse,247,,
,,Bronzong,Astral Radiance,TG11,,
,Pryce,Abomasnow,Astral Radiance,TG01,,
,Clair,Kingdra,Astral Radiance,TG03,,
,Will,Jynx,Silver Tempest,TG04,,
,Karen,Umbreon V,Brilliant Stars,TG22,,
,,Umbreon VMAX,Brilliant Stars,TG23,,
,Proton,Team Rocket's Trickery,Undaunted,78,,
,,Team Rocket's Spidops,Destined Rivals,187,,
,,Team Rocket's Giovanni,Destined Rivals,238,,
,,Team Rocket's Mimikyu,Ascended Heroes,238,,
,Petrel,Team Rocket's Trickery,Undaunted,78,,
,,Team Rocket's Weezing,Destined Rivals,199,,
,,Team Rocket's Giovanni,Destined Rivals,238,,
,Ariana,Team Rocket's Evil Deeds,Neo Destiny,103,,
,,Team Rocket's Murkrow,Destined Rivals,200,,
,,Team Rocket's Giovanni,Destined Rivals,238,,
,Archer,Team Rocket's Evil Deeds,Neo Destiny,103,,
,,Team Rocket's Houndoom,Destined Rivals,191,,
,,Team Rocket's Moltres ex,Destined Rivals,208,,
,,Team Rocket's Moltres ex,Destined Rivals,229,,
,,Team Rocket's Giovanni,Destined Rivals,238,,
,Iron-Masked Marauder,Rocket's Tyranitar,VS,142,,
,,Rocket's Scizor,Best of Game,4,,
,,Rocker's Sneasel,Best of Game,5,,
,Junichi Masuda,Psyduck,XY-P Promos,-,,
HOENN,May,May's Torchic,ADV-P Promos,37,,
,,Blaziken,Silver Tempest,TG14,,
,,Blaziken VMAX,Silver Tempest,TG15,,
,Wally,Gallade,Cosmic Eclipse,244,,
,Roxanne,Gym Badge,XY-P Promos,-,,
,Brawly,Gym Badge,XY-P Promos,-,,
,Wattson,Gym Badge,XY-P Promos,-,,
,Flannery,Gym Badge,XY-P Promos,-,,
,,Torkoal,Cosmic Eclipse,237,,
,Norman,Gym Badge,XY-P Promos,-,,
,Winona,Gym Badge,XY-P Promos,-,,
,Tate,Gym Badge,XY-P Promos,-,,
,Liza,Gym Badge,XY-P Promos,-,,
,Wallace,Gym Badge,XY-P Promos,-,,
,,Milotic,Silver Tempest,TG02,,
,Sidney,Mightyena,Astral Radiance,TG09,,
,Phoebe,Banette,Lost Origin,TG07,,
,Steven,Metagross,Celestial Storm,95,,
,,Steven's Beldum,SVP Promos,207,,
,,Steven's Metagross ex,Ascended Heroes,289,,
,Lisia,Altaria,Silver Tempest,TG11,,
,Zinnia,Rayquaza V,Evolving Skies,194,,
,,Rayquaza VMAX,Silver Tempest,TG20,,
,Gabby,TV Reporter,Dragon,88,,
,,,POP Series 2,11,,
,,,Dragon Frontiers,82,,
,,,Celestial Storm,149,,
,,TV Reporter,Celestial Storm,167,,
,Ty,TV Reporter,Dragon,88,,
,,,POP Series 2,11,,
,,,Dragon Frontiers,82,,
,,,Celestial Storm,149,,
,,TV Reporter,Celestial Storm,167,,
,Courtney,Team Magma's Groudon-EX,Double Crisis,15,,
,,Team Magma Admin,Double Crisis,29,,
,,Groudon,Celebrations ,17,,
,Tabitha,Team Magma's Groudon-EX,Double Crisis,15,,
,,Team Magma Admin,Double Crisis,29,,
,,Groudon,Celebrations ,17,,
,Shelly,Team Aqua's Kyogre-EX,Double Crisis,6,,
,,Team Aqua Admin,Double Crisis,25,,
,,Kyogre,Celebrations ,3,,
,Matt,Team Aqua's Kyogre-EX,Double Crisis,6,,
,,Team Aqua Admin,Double Crisis,25,,
,,Kyogre,Celebrations ,3,,
SINNOH,Lucas,Friends in Sinnoh,Crown Zenith,131,,
,,Friends in Sinnoh,Crown Zenith,149,,
,Dawn,Mom's Kindness,Majestic Dawn,83,,
,,Piplup M,Movie Commemoration Random Pack,7,,
,,Buneary M,Movie Commemoration Random Pack,19,,
,,Piplup,Cosmic Eclipse,239,,
,,Friends in Sinnoh,Crown Zenith,131,,
,,Friends in Sinnoh,Crown Zenith,149,,
,Barry,Rival,Diamond & Pearl,113,,
,,,Secret Wonders,124,,
,,Bidoof,Brilliant Stars,120,,
,,Friends in Sinnoh,Crown Zenith,131,,
,,Friends in Sinnoh,Crown Zenith,149,,
,Professor Rowan,Roseanne's Research,Secret Wonders,125,,
,,,POP Series 8,11,,
,,Staravia,Brilliant Stars,118,,
,Gardenia,Roserade,Lost Origin,TG02,,
,Candice,Froslass,Silver Tempest,43,,
,Volkner,Friends in Sinnoh,Crown Zenith,131,,
,,Friends in Sinnoh,Crown Zenith,149,,
,Cynthia,Garchomp,Ultra Prism,99,,
,,,Forbidden Light,62,,
,,Garchomp V,Astral Radiance,TG23,,
,,Friends in Sinnoh,Crown Zenith,131,,
,,Friends in Sinnoh,Crown Zenith,149,,
,,Cynthia's Roserade,Destined Rivals,184,,
,,Cynthia's Garchomp ex,Destined Rivals,215,,
,,,Destined Rivals,241,,
,,Cynthia's Garchomp ex,Destined Rivals,232,,
,,Cynthia's Garchomp ex,SVP Promos,204,,
,,Cynthia's Spiritomb,Ascended Heroes,244,,
,Johanna,Mom's Kindness,Majestic Dawn,83,,
,Cyrus,Honchkrow,Ultra Prism,72,,
,,Sneasel,Ultra Prism,73,,
,,Weavile,Cosmic Eclipse,238,,
,Damos,Bronzong M,Movie Commemoration Random Pack,15,,
,Marcus,Heatran M,Movie Commemoration Random Pack,5,,
UNOVA,Nate,Samurott,Legendary Treasures,39,,
,Rosa,Serperior V,Silver Tempest,TG13,,
,Cheren,Stoutland,Cosmic Eclipse,248,,
,,Castform,Lost Origin,TG11,,
,Elesa,Flaaffy,Silver Tempest,TG03,,
,Clay,Excadrill,Cosmic Eclipse,246,,
,Roxie,Koffing,Cosmic Eclipse,243,,
,Shauntal,Chandelure,Lost Origin,TG04,,
,Grimsley,Houndoom,Brilliant Stars,TG10,,
,Ingo,Irida,Crown Zenith,GG63,,
,N,Reshiram & Zekrom-GX,Cosmic Eclipse,157,,
,,Reshiram & Zekrom-GX,Cosmic Eclipse,222,,
,,,Cosmic Eclipse,259,,
,,Zekrom,Brilliant Stars,TG05,,
,,N's Reshiram,Journey Together,167,,
,,N's Zoroark ex,Journey Together,175,,
,,,Journey Together,189,,
,,N's Zoroark ex,Journey Together,185,,
,,N's Zorua,SVP Promos,189,,
,,N's Zoroark ex,Ascended Heroes,286,,
,,N's Zekrom,MEP Promos,31,,
,Crispin,Lacey,Stellar Crown,172,,
,Amarys,Lacey,Stellar Crown,172,,
,Drayton,Lacey,Stellar Crown,172,,
,Briar,Kieran,Prismatic Evolutions,174,,
KALOS,Serena,Braixen,Silver Tempest,TG01,,
,Valerie,Sylveon V,Brilliant Stars,TG14,,
,,Sylveon VMAX,Brilliant Stars,TG15,,
,Diantha,Gardevoir,Silver Tempest,TG05,,
,Sina,Oranguru,Brilliant Stars,TG12,,
,Kali,Dedenne,Brilliant Stars,TG07,,
,Xerosic,Malamar,Silver Tempest,TG06,,
,Lysandre,Pyroar,Forbidden Light,19,,
,Tarragon,Hippowdon,Perfect Order,40,,
,Canari,Tarragon,Perfect Order,85,,plush
ALOLA,Selene,Zeraora V,Silver Tempest,TG16,,
,Hau,Friends in Alola,SM-P Promos,401,,
,Lillie,Cosmog,SM-P Promos,81,,
,,Solgaleo & Lunala-GX,Cosmic Eclipse,75,,
,,Solgaleo & Lunala-GX,Cosmic Eclipse,216,,
,,,Cosmic Eclipse,254,,
,,Clefairy,SM-P Promos,381,,
,,Friends in Alola,SM-P Promos,401,,
,,Cosmog,Celebrations,13,,
,,Cosmoem,Celebrations ,14,,
,,Lunala,Celebrations ,15,,
,,Solgaleo,Celebrations ,21,,
,,Lillie's Ribombee,Journey Together,164,,
,,Lillie's Clefairy ex,Journey Together,173,,
,,Lillie's Clefairy ex,Journey Together,184,,
,,Lillie's Clefairy ex,SVP Promos,195,,
,,Lillie's Clefairy ex,Ascended Heroes,280,,
,Professor Kukui,Rockruff,Ash vs Team Rocket,11,,
,,Rockruff,Silver Tempest,TG07,,
,Lana,Wishiwashi,Cosmic Eclipse,240,,
,,Friends in Alola,SM-P Promos,401,,
,Mallow,Friends in Alola,SM-P Promos,401,,
,Acerola,Mimikyu,Cosmic Eclipse,245,,
,,Mimikyu V,Brilliant Stars,TG16,,
,,Mimikyu VMAX,Brilliant Stars,TG17,,
,Dulse,Ultra Recon Squad,Forbidden Light,114,,
,,Ultra Recon Squad,Forbidden Light,131,,
,Zossie,Ultra Recon Squad,Forbidden Light,114,,
,,Ultra Recon Squad,Forbidden Light,132,,
,Gladion,Silvally-GX,Cosmic Eclipse,184,,
,,Silvally-GX,Cosmic Eclipse,227,,
,,,Cosmic Eclipse,262,,
,,Friends in Alola,SM-P Promos,401,,
,Mohn,Lusamine,Ultra Prism,153a,,
GALAR,Victor,Friends in Galar,Brilliant Stars,140,,
,,Galarian Articuno V,Astral Radiance,TG16,,
,,Shadow Rider Calyrex V,Astral Radiance,TG17,,
,,Shadow Rider Calyrex VMAX,Astral Radiance,TG18,,
,,Friends in Galar,Silver Tempest,TG23,,
,Gloria,Friends in Galar,Brilliant Stars,140,,
,,Single Strike Urshifu V,Brilliant Stars,TG18,,
,,Single Strike Urshifu VMAX,Brilliant Stars,TG19,,
,,Galarian Moltres V,Astral Radiance,TG20,,
,,Friends in Galar,Silver Tempest,TG23,,
,Hop,Friends in Galar,Brilliant Stars,140,,
,,Zacian V,Astral Radiance,TG21,,
,,Zamazenta V,Astral Radiance,TG22,,
,,Friends in Galar,Silver Tempest,TG23,,
,,Leon,Crown Zenith,134,,
,,Hop's Wooloo,Journey Together,170,,
,,Hop's Zacian ex,Journey Together,176,,
,,Hop's Zacian ex,Journey Together,186,,
,,Hop's Trevenant,Ascended Heroes,237,,
,Marnie,Friends in Galar,Brilliant Stars,140,,
,,Friends in Galar,Silver Tempest,TG23,,
,,Marnie's Morpeko,SVP Promos,206,,
,,Marnie's Grimmsnarl ex,Ascended Heroes,287,,
,,Copycat,Evolving Skies,143,,costume
,,Copycat,Evolving Skies,200,,
,,,Evolving Skies,222,,
,Bede,Friends in Galar,Brilliant Stars,140,,
,,Mawile V,Silver Tempest,TG17,,
,,Friends in Galar,Silver Tempest,TG23,,
,Milo,Flapple,Astral Radiance,TG02,,
,Nessa,Drednaw,Vivid Voltage,39,,
,Kabu,Centiskorch V,Lost Origin,TG14,,
,,Centiskorch VMAX,Lost Origin,TG15,,
,Bea,Hitmontop,Vivid Voltage,88,,
,,Falinks,Astral Radiance,TG07,,
,Melony,Lapras,Chilling Reign,29,,
,,Frosmoth,Astral Radiance,TG04,,
,Piers,Obstagoon,Astral Radiance,TG10,,
,Raihan,Duraludon V,Evolving Skies,198,,
,,Duraludon VMAX,Silver Tempest,TG21,,
,Leon,Charizard,Vivid Voltage,25,,
,,Charizard,Lost Origin,TG03,,
,,Copycat,Evolving Skies,143,,costume
,,Copycat,Evolving Skies,200,,
,,,Evolving Skies,222,,
,Sonia,Boltund V,Brilliant Stars,TG13,,
,,Galarian Zapdos V,Astral Radiance,TG19,,
,Mustard,Rapid Strike Urshifu V,Brilliant Stars,TG20,,
,,Rapid Strike Urshifu VMAX,Brilliant Stars,TG21,,
,Peony,Ice Rider Calyrex V,Astral Radiance,TG14,,
,,Ice Rider Calyrex VMAX,Astral Radiance,TG15,,
,Rose,Eternatus V,Lost Origin,TG21,,
,,Eternatus VMAX,Lost Origin,TG22,,
,,Copycat,Evolving Skies,143,,costume
,,Copycat,Evolving Skies,200,,
,,,Evolving Skies,222,,
,Hironobu Yoshida,Alcremie,Brilliant Stars,71,,Yoshida's Coffee logo
,,Bea,Crown Zenith,123,,
HISUI,Rei,Hippopotas,Astral Radiance,79,,
,,Hisuian Arcanine,Lost Origin,TG08,,
,,Friends in Hisui,Crown Zenith,130,,
,,Friends in Hisui,Crown Zenith,148,,
,Akari,Scyther,Astral Radiance,5,,
,,Pikachu,Lost Origin,TG05,,
,,Friends in Hisui,Crown Zenith,130,,
,,Friends in Hisui,Crown Zenith,148,,
,Adaman,Friends in Hisui,Crown Zenith,130,,
,,Friends in Hisui,Crown Zenith,148,,
,Irida,Friends in Hisui,Crown Zenith,130,,
,,Friends in Hisui,Crown Zenith,148,,
,Mai,Wyrdeer,Astral Radiance,TG06,,
,,Adaman,Crown Zenith,GG57,,
,Lian,Kleavor,Astral Radiance,TG08,,
,,Irida,Crown Zenith,GG63,,
,Arezu,Adaman,Crown Zenith,GG57,,
,Calaba,Irida,Crown Zenith,GG63,,
,Iscan,Adaman,Crown Zenith,GG57,,
,Palina,Irida,Crown Zenith,GG63,,
,Melli,Adaman,Crown Zenith,GG57,,
,Sabi,Adaman,Crown Zenith,GG57,,
,Gaeric,Irida,Crown Zenith,GG63,,
,Beni,Gallade V,Lost Origin,TG19,,
,Kamado,Snorlax,Lost Origin,TG10,,
,Cogita,Enamorus V,Lost Origin,TG18,,
,Vessa,Spiritomb,Lost Origin,TG09,,
,Mani,Parasect,Lost Origin,TG01,,
,Clover,Gengar,Lost Origin,TG06,,
,,Miss Fortune Sisters,Lost Origin,164,,
,,Miss Fortune Sisters,Lost Origin,194,,
,,,Lost Origin,209,,
,Coin,Gengar,Lost Origin,TG06,,
,,Miss Fortune Sisters,Lost Origin,164,,
,,Miss Fortune Sisters,Lost Origin,194,,
,,,Lost Origin,209,,
,Charm,Gengar,Lost Origin,TG06,,
,,Miss Fortune Sisters,Lost Origin,164,,
,,Miss Fortune Sisters,Lost Origin,194,,
,,,Lost Origin,209,,
PALDEA / KITAKAMI,Florian,Friends in Paldea,Prismatic Evolutions,109,,
,,Friends in Paldea,Prismatic Evolutions,137,,
,Juliana,Arven,Paldean Fates,235,,
,,Friends in Paldea,Prismatic Evolutions,109,,
,,Friends in Paldea,Prismatic Evolutions,137,,
,Nemona,Friends in Paldea,Prismatic Evolutions,109,,
,,Friends in Paldea,Prismatic Evolutions,137,,
,Arven,Mabosstiff,Scarlet & Violet,218,,
,,Friends in Paldea,Prismatic Evolutions,109,,
,,Friends in Paldea,Prismatic Evolutions,137,,
,,Arven's Greedent,Destined Rivals,205,,
,,Arven's Mabosstiff ex,Destined Rivals,218,,
,,Arven's Mabosstiff ex,Destined Rivals,235,,
,Penny,Clive,Paldean Fates,236,,
,,Friends in Paldea,Prismatic Evolutions,109,,
,,Friends in Paldea,Prismatic Evolutions,137,,
,Carmine,Kieran,Prismatic Evolutions,174,,
,Kieran,Carmine,Sparkling Fable,255,,this card was only released in Simplified Chinese
,Iono,Iono's Kilowattrel,Journey Together,163,,
,,Iono's Bellibolt ex,Journey Together,172,,
,,,Journey Together,188,,
,,Iono's Bellibolt ex,Journey Together,183,,
,,Iono's Bellibolt ex,SVP Promos,194,,
,,Iono's Wattrel,Ascended Heroes,231,,
,,Iono's Bellibolt ex,Ascended Heroes,279,,
,Kofu,Veluza,Stellar Crown,45,,
,Larry,Larry's Staraptor,Ascended Heroes,249,,
,Tulip,Espathra,Paradox Rift,81,,
,Dendra,Tulip,Paradox Rift,259,,
,Perrin,Hisuian Growlithe,Twilight Masquerade,181,,only partially visible
,Giacomo,Clive,Paldean Fates,236,,
,Mela,Clive,Paldean Fates,236,,
,Atticus,Clive,Paldean Fates,236,,
,Youssef,Clive,Paldean Fates,236,,
,Ortega,Clive,Paldean Fates,236,,
,Carmen,Clive,Paldean Fates,236,,
,Eri,Clive,Paldean Fates,236,,
,Liko,Sprigatito,SVP Promos,191,,
,,Terapagos & Friends,SVP Promos,-,,Jumbo
,,Sprigatito,Gem Pack Vol. 1,01 09,,this card was only released in Simplified Chinese
,,Floragato,Gem Pack Vol. 5,22 07,,this card was only released in Simplified Chinese
,Roy,Fuecoco,SVP Promos,192,,
,,Terapagos & Friends,SVP Promos,-,,Jumbo
,,Fuecoco,Gem Pack Vol. 1,03 09,,this card was only released in Simplified Chinese
,,Crocalor,Gem Pack Vol. 5,23 07,,this card was only released in Simplified Chinese
,Dot,Terapagos & Friends,SVP Promos,-,,Jumbo
,,Quaxly,Gem Pack Vol. 1,05 09,,this card was only released in Simplified Chinese
,,Quaxwell,Gem Pack Vol. 5,24 07,,this card was only released in Simplified Chinese
,Friede,Terapagos & Friends,SVP Promos,-,,Jumbo
,,Captain Pikachu,Gem Pack Vol. 1,07 01,,
,,Captain Pikachu,Gem Pack Vol. 1,07 09,,
,,Captain Pikachu,Gem Pack Vol. 5,01 07,,
GENERIC TRAINER CLASSES,Ace Trainer,Druddigon,Silver Tempest,TG09,,
,Aether Foundation Employee,Registeel,Crimson Invasion,68,,
,,Jigglypuff,Crimson Invasion,71,,
,,Registeel,SM Promos,75,,
,Artist,Smeargle,Silver Tempest,TG10,,
,Black Belt,Passimian,Silver Tempest,TG08,,
,Bug Catcher,Kricketune V,Silver Tempest,TG12,,
,Cabbie,Corviknight,Darkness Ablaze,156,,
,,Corviknight V,Silver Tempest,TG18,,
,,Corviknight VMAX,Silver Tempest,TG19,,
,Café Master,Alcremie,Brilliant Stars,71,,
,,Alcremie,Brilliant Stars,TG08,,
,Diamond Clan Member,Magnemite,Astral Radiance,105,,
,Doctor,Gardevoir,Astral Radiance,TG05,,
,Fisher,Shining Gyarados,Neo Revelation ,65,,
,,Gyarados,Ancient Origins ,21,,
,,Gyarados ,XY Promos,60,,
,,Octillery,Brilliant Stars,TG03,,
,,Lugia V,Silver Tempest ,186,,
,,Basculin,Fusion Strike,70,,hat
,Ginkgo Guild Member,Yanma,Astral Radiance,6,,
,Kitakami Ogre Clan,Kieran,Twilight Masquerade,218,,
,Pearl Clan Member,Bergmite,Astral Radiance,47,,
,Poké Fan,Pokémon Fan Club,Flashfire,94,,
,,,Generations,69,,
,,,Fates Collide,107,,
,,Pokémon Fan Club,Flashfire,106,,
,,Pokémon Fan Club,Ultra Prism,133,,
,,,TCG Classic: Venusaur Deck,22,,
,,,TCG Classic: Charizard Deck,22,,
,,,TCG Classic: Blastoise Deck,24,,
,,Pokémon Fan Club,Ultra Prism,155,,
,Poké Kid,Copycat,Expedition,138,,costume
,,,Team Rocket Returns,83,,
,,,Dragon Frontiers,73,,
,,,Celestial Storm,127,,
,,Copycat,Celestial Storm,163,,
,Pokémon Center Lady,Pokémon Nurse,Expedition,145,,
,,,TCG Classic: Venusaur Deck,23,,
,,Blissey V,Silver Tempest,TG22,,
,Pokémon GO Trainer,Natu,Pokémon GO,32,,
,Preschooler,Acerola,Burning Shadows,112a,,
,Psychic,Seer,Aquapolis,133,,
,Sage,Hoothoot,Astral Radiance,TG12,,
,Scientist,Fossil Researcher,Furious Fists,92,,
,,Fossil Researcher,Furious Fists,110,,
,Team Aqua Grunt,Team Aqua Schemer,Team Magma vs Team Aqua,69,,
,,Team Aqua Conspirator,Team Magma vs Team Aqua,77,,
,,Team Aqua's Spheal,Double Crisis,3,,
,,Team Aqua's Sealeo,Double Crisis,4,,
,,Team Aqua's Walrein,Double Crisis,5,,
,,Team Aqua's Grimer,Double Crisis,7,,
,,Team Aqua's Seviper,Double Crisis,9,,
,,Team Magma's Baltoy,Double Crisis,10,,
,,Team Magma's Aron,Double Crisis,12,,
,,Team Magma's Aggron,Double Crisis,14,,
,,Team Magma's Poochyena,Double Crisis,17,,
,,Team Aqua's Mightyena,Double Crisis,18,,
,Team Galactic Grunt,Team Galactic's Wager,Mysterious Treasures,115,,
,,Honchkrow,Ultra Prism,72,,
,Team Magma Grunt,Team Magma Schemer,Team Magma vs Team Aqua,70,,
,,Team Magma Conspirator,Team Magma vs Team Aqua,82,,
,,Team Magma's Camerupt,Double Crisis,2,,
,,Team Aqua's Grimer,Double Crisis,7,,
,,Team Aqua's Muk,Double Crisis,8,,
,,Team Magma's Claydol,Double Crisis,11,,
,,Team Magma's Aron,Double Crisis,12,,
,,Team Magma's Aggron,Double Crisis,14,,
,,Team Magma's Poochyena,Double Crisis,17,,
,,Team Magma's Mightyena,Double Crisis,19,,
,,Team Aqua's Sharpedo,Double Crisis,21,,
,,Team Magma's Zangoose,Double Crisis,22,,
,Team Rocket Grunt,Dark Slowbro,Team Rocket,12,,
,,,Team Rocket,29,,
,,,Legendary Collection,8,,
,,Rocket's Sneak Attack,Team Rocket,16,,
,,,Team Rocket,71,,
,,The Rocket's Trap,Gym Heroes,19,,
,,The Rocket's Training Gym,Gym Heroes,104,,
,,Minion of Team Rocket,Gym Heroes,113,,
,,Team Rocket's Evil Deeds,Neo Destiny,103,,
,,Rocket's TM 01,VS,127,,
,,Rocket's Mission,Team Rocket Returns,88,,
,,Team Rocket's Handiwork,Fates Collide,112,,
,,Team Rocket's Handiwork,Fates Collide,124,,
,,Koffing,Unbroken Bonds,73,,
,,Marowak,Unbroken Bonds,91,,
,,Team Rocket's Orbeetle,Destined Rivals,198,,
,,Team Rocket's Raticate,Destined Rivals,202,,
,,Team Rocket's Crobat ex,Destined Rivals,217,,
,,,Destined Rivals,242,,
,,Team Rocket's Crobat ex,Destined Rivals,234,,
,,Team Rocket's Wobbuffet,SVP Promos,203,,
,,Team Rocket's Dugtrio,Ascended Heroes,239,,
,,Dark Magneton,Team Rocket,11,,shadow
,,,Team Rocket,28,,
,,Copycat,Expedition,138,,costume
,,,Team Rocket Returns,83,,
,,,Dragon Frontiers,73,,
,,,Celestial Storm,127,,
,,Copycat,HeartGold & SoulSilver,90,,
,,,Call of Legends,77,,
,,Copycat,Celestial Storm,163,,
,Team Skull Grunt,Heracross,Burning Shadows,11,,
,,Rhydon,Burning Shadows,66,,
,Team Yell Grunt,Team Yell's Cheer,Brilliant Stars,149,,
